game_day,date,national team,UCL,UEFA,MBs,KKs,KKQs,NKWs,NKLs,NSZK
123,2001-08-08,,CHL-Q3-1,UEFA-Q-1,,,,,,
124,2001-08-11,,,,MB-B-3,,,,,
125,2001-08-15,FRIENDLY-NAT-6,,,,,,,,
126,2001-08-18,,,,MB-B-4,,,,,
127,2001-08-22,,CHL-Q3-2,UEFA-Q-2,,,,,,
128,2001-08-25,,,,,,,NKW-1-1,,
129,2001-08-29,,,,,,,,,
130,2001-09-01,WC-Q-8,,,,,,,,
131,2001-09-05,WC-Q-9,,,,KKARA-3,,,,
132,2001-09-08,,,,MB-B-5,,,,,
133,2001-09-12,,CHL-G1-1,UEFA-W1-1,,,,,,
134,2001-09-15,,,,MB-B-6,,,,,
135,2001-09-19,,CHL-G1-2,,,KKARA-4,,,,
136,2001-09-22,,,,MB-B-7,,,,,
137,2001-09-26,,CHL-G1-3,UEFA-W1-2,,,,,,
138,2001-09-29,,,,MB-B-8,,,,,
139,2001-10-03,,,,,,,NKW-2-1,,
140,2001-10-06,WC-Q-10,,,,,,,,
141,2001-10-10,,,,,,,,,
142,2001-10-13,,,,,KKARA-5,,,,
143,2001-10-17,,CHL-G1-4,,,,,,,
144,2001-10-20,,,,MB-B-9,,,,,
145,2001-10-24,,CHL-G1-5,UEFA-W2-1,,,,,,
146,2001-10-27,,,,MB-B-10,,,,,
147,2001-10-31,,,,,,,NKW-3-1,,
148,2001-11-03,,,,,KKROM-1,,,,
149,2001-11-07,,CHL-G1-6,UEFA-W2-2,,,,,,
150,2001-11-10,,,,MB-B-11,,,,,
151,2001-11-14,FRIENDLY-NAT-7,,,,,,,,
152,2001-11-17,,,,MB-B-12,,,,,
153,2001-11-21,,CHL-G2-1,UEFA-W3-1,,KKROM-2,,,,
154,2001-11-24,,,,,KKROM-3,,,,
155,2001-11-28,,,,,,,NKW-4-1,,
156,2001-12-01,,,,MB-B-13,,,,,
157,2001-12-05,,CHL-G2-2,UEFA-W3-2,,,,,,
158,2001-12-08,,,,MB-B-14,,,,,
159,2001-12-12,,,,,,,NKW-5-1,,
160,2001-12-15,,,,,,,NKW-5-2,NKL-5-1,
161,2001-12-19,,,,,,,,,
162,2001-12-22,,,,,,,,,
163,2001-12-26,,,,,,,,,
164,2001-12-29,,,,,,,,,
165,2002-01-23,,,,,KKABC-1,KKJKL-1,,,
166,2002-01-26,,,,MB-R-1,,,,,
167,2002-01-30,,,,,KKABC-2,KKJKL-2,,,
168,2002-02-02,,,,MB-R-2,,,,,
169,2002-02-06,,,,MB-R-3,,,,,
170,2002-02-09,,,,,,,NKW-6-1,NKL-6-1,
171,2002-02-16,,,,MB-R-4,,,,,
172,2002-02-20,,CHL-G2-3,,,KKABC-3,KKJKL-3,,,
173,2002-02-21,,,UEFA-W4-1,,,,,,
174,2002-02-23,,,,MB-R-5,,,,,
175,2002-02-27,,CHL-G2-4,,,,,,,
176,2002-02-28,,,UEFA-W4-2,,,,NKW-6-2,NKL-7-1,
177,2002-03-02,,,,,KKGOR-1,KKJKL-4,,,
178,2002-03-09,,,,,KKGOR-2,,,,
179,2002-03-13,,CHL-G2-5,,,,,,,
180,2002-03-14,,,UEFA-QF-1,,,,,,
181,2002-03-16,,,,MB-R-6,,,,,
182,2002-03-20,,CHL-G2-6,,,KKGOR-3,,,,
183,2002-03-21,,,UEFA-QF-2,,,,,NKL-8-1,
184,2002-03-30,,,,MB-R-7,,,,,
185,2002-04-03,,CHL-QF-1,,,,,NKW-7-1,NKL-9-1,
186,2002-04-04,,,UEFA-SF-1,,,,,,
187,2002-04-06,,,,MB-R-8,,,,,
188,2002-04-10,,CHL-QF-2,,,,,,,
189,2002-04-11,,,UEFA-SF-2,,,,,,
190,2002-04-13,,,,MB-R-9,,,,,
191,2002-04-20,,,,MB-R-10,,,,,
192,2002-04-24,,CHL-SF-1,,,,,,,
193,2002-04-27,,,,,,,,,NSZK-ED
194,2002-05-01,,CHL-SF-2,,,,,,,
195,2002-05-04,,,,,,,,,NSZK-EF
196,2002-05-08,,,UEFA-F-1,,,,,,
197,2002-05-11,,,,,,,,,
198,2002-05-15,,CHL-F-1,,,,,,,
199,2002-05-18,,,,,,,,,
200,2002-05-25,,,,,,,,,
201,2002-06-02,WC-GR-1,,,,,,,,
202,2002-06-07,WC-GR-2,,,,,,,,
203,2002-06-08,,,,,,,,,
204,2002-06-12,WC-GR-3,,,,,,,,
205,2002-06-16,WC-W-1,,,,,,,,
206,2002-06-22,WC-QF-1,,,,,,,,
207,2002-06-26,WC-SF-1,,,,,,,,
208,2002-06-30,WC-F-1,,,,,,,,
209,,,,,,,,,,
210,,,,,,,,,,
211,,,,,,,,,,
212,,,,,,,,,,
213,,,,,,,,,,
214,,,,,,,,,,
215,,,,,,,,,,
216,,,,,,,,,,
217,,,,,,,,,,
218,,,,,,,,,,
219,,,,,,,,,,
220,,,,,,,,,,
221,,,,,,,,,,
222,,,,,,,,,,
223,,,,,,,,,,
224,,,,,,,,,,
225,,,,,,,,,,
226,,,,,,,,,,
227,,,,,,,,,,
228,,,,,,,,,,
229,,,,,,,,,,
230,,,,,,,,,,
231,,,,,,,,,,
232,,,,,,,,,,
233,,,,,,,,,,
234,,,,,,,,,,
235,,,,,,,,,,
236,,,,,,,,,,
237,,,,,,,,,,
238,,,,,,,,,,
239,,,,,,,,,,
240,,,,,,,,,,
241,,,,,,,,,,
242,,,,,,,,,,
243,,,,,,,,,,
244,,,,,,,,,,
245,,,,,,,,,,
246,,,,,,,,,,
247,,,,,,,,,,
248,,,,,,,,,,
249,,,,,,,,,,
250,,,,,,,,,,
251,,,,,,,,,,
252,,,,,,,,,,
253,,,,,,,,,,
254,,,,,,,,,,
255,,,,,,,,,,
256,,,,,,,,,,
257,,,,,,,,,,
258,,,,,,,,,,
259,,,,,,,,,,
260,,,,,,,,,,
261,,,,,,,,,,
262,,,,,,,,,,
263,,,,,,,,,,
264,,,,,,,,,,
265,,,,,,,,,,
266,,,,,,,,,,
267,,,,,,,,,,
268,,,,,,,,,,
269,,,,,,,,,,
270,,,,,,,,,,
271,,,,,,,,,,
272,,,,,,,,,,
