game_day,date,national team,UCL,UEFA,MBs,KKs,KKQs,NKWs,NKLs,SKs
119,2001-08-01,,,,,,,,,
120,2001-08-04,,,,,,,,,
121,2001-08-08,,,,,,,,,
122,2001-08-11,,,,,,,,,
123,2001-08-15,FRIENDLY-NAT-6,,,,,,,,
124,2001-08-18,,,,,,,,,
125,2001-08-22,,,,,,,,,
126,2001-08-25,,,,,,,,,
127,2001-08-29,,,,,,,,,
128,2001-09-01,WC-Q-8,,,,,,,,
129,2001-09-05,WC-Q-9,,,,,,,,
130,2001-09-08,,,,,,,,,
131,2001-09-12,,,,,,,,,
132,2001-09-15,,,,,,,,,
133,2001-09-19,,,,,,,,,
134,2001-09-22,,,,,,,,,
135,2001-09-26,,,,,,,,,
136,2001-09-29,,,,,,,,,
137,2001-10-03,,,,,,,,,
138,2001-10-06,WC-Q-10,,,,,,,,
139,2001-10-10,,,,,,,,,
140,2001-10-13,,,,,,,,,
141,2001-10-17,,,,,,,,,
142,2001-10-20,,,,,,,,,
143,2001-10-24,,,,,,,,,
144,2001-10-27,,,,,,,,,
145,2001-10-31,,,,,,,,,
146,2001-11-03,,,,,,,,,
147,2001-11-07,,,,,,,,,
148,2001-11-10,,,,,,,,,
149,2001-11-14,FRIENDLY-NAT-7,,,,,,,,
150,2001-11-17,,,,,,,,,
151,2001-11-21,,,,,,,,,
152,2001-11-24,,,,,,,,,
153,2001-11-28,,,,,,,,,
154,2001-12-01,,,,,,,,,
155,2001-12-05,,,,,,,,,
156,2001-12-08,,,,,,,,,
157,2001-12-12,,,,,,,,,
158,2001-12-15,,,,,,,,,
159,2001-12-19,,,,,,,,,
160,2001-12-22,,,,,,,,,
161,2001-12-26,,,,,,,,,
162,2001-12-29,,,,,,,,,
,2000-12-15,,,,,,,,,
,2000-12-17,,,,,,KKJKL-1,,,
